full_jaspar_motif,jaspar_motif,jaspar_name_1,jaspar_name_2,TFClass_name_1,TFClass_name_2,RNA_name_1,RNA_name_2,TFClass_subfamily_1,TFClass_family_1,TFClass_class_1,TFClass_superclass_1,TFClass_num_1,TFClass_subfamily_2,TFClass_family_2,TFClass_class_2,TFClass_superclass_2,TFClass_num_2,lowest_level_fam_1,lowest_level_fam_2
MA1514.1_KLF17,KLF17,KLF17,NA,KLF17,NA,KLF17,NA,Kr-like,Three-zinc finger Krüppel-related,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.1.2.17,NA,NA,NA,NA,NA,Kr-like,NA
MA1515.1_KLF2,KLF2,KLF2,NA,KLF2,NA,KLF2,NA,Kr-like,Three-zinc finger Krüppel-related,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.1.2.2,NA,NA,NA,NA,NA,Kr-like,NA
MA1516.1_KLF3,KLF3,KLF3,NA,KLF3,NA,KLF3,NA,Kr-like,Three-zinc finger Krüppel-related,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.1.2.3,NA,NA,NA,NA,NA,Kr-like,NA
MA1517.1_KLF6,KLF6,KLF6,NA,KLF6,NA,KLF6,NA,Kr-like,Three-zinc finger Krüppel-related,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.1.2.6,NA,NA,NA,NA,NA,Kr-like,NA
MA1518.1_LHX1,LHX1,LHX1,NA,LHX1,NA,LHX1,NA,LHX1-like,HD-LIM,Homeo domain factors,Helix-turn-helix domains,3.1.5.2.1,NA,NA,NA,NA,NA,LHX1-like,NA
MA1519.1_LHX5,LHX5,LHX5,NA,LHX5,NA,LHX5,NA,LHX1-like,HD-LIM,Homeo domain factors,Helix-turn-helix domains,3.1.5.2.2,NA,NA,NA,NA,NA,LHX1-like,NA
MA1520.1_MAF,MAF,MAF,NA,MAF (c-MAF),NA,MAF,NA,Large MAF,Maf-related,Basic leucine zipper factors (bZIP),Basic domains,1.1.3.1.1,NA,NA,NA,NA,NA,Large MAF,NA
MA1521.1_MAFA,MAFA,MAFA,NA,MAFA,NA,MAFA,NA,Large MAF,Maf-related,Basic leucine zipper factors (bZIP),Basic domains,1.1.3.1.2,NA,NA,NA,NA,NA,Large MAF,NA
MA1522.1_MAZ,MAZ,MAZ,NA,MAZ,NA,MAZ,NA,MAZ-like,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.8.1,NA,NA,NA,NA,NA,MAZ-like,NA
MA1523.1_MSANTD3,MSANTD3,MSANTD3,NA,NA,NA,MSANTD3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA1524.1_MSGN1,MSGN1,MSGN1,NA,MSGN1,NA,MSGN1,NA,MESP,Tal-related,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.3.3.6,NA,NA,NA,NA,NA,MESP,NA
MA1525.1_NFATC4,NFATC4,NFATC4,NA,NFATc4,NA,NFATC4,NA,NA,NFAT-related,Rel homology region (RHR) factors,Immunoglobulin fold,6.1.3.0.4,NA,NA,NA,NA,NA,NFAT-related,NA
MA1527.1_NFIC(var.2),NFIC(var.2),NFIC,NA,NF-1C,NA,NFIC,NA,NA,NF-1,SMAD/NF-1 DNA-binding domain factors,beta-Hairpin exposed by an alpha/beta-scaffold,7.1.2.0.3,NA,NA,NA,NA,NA,NF-1,NA
MA1528.1_NFIX(var.2),NFIX(var.2),NFIX,NA,NF-1X,NA,NFIX,NA,NA,NF-1,SMAD/NF-1 DNA-binding domain factors,beta-Hairpin exposed by an alpha/beta-scaffold,7.1.2.0.4,NA,NA,NA,NA,NA,NF-1,NA
MA1529.1_NHLH2,NHLH2,NHLH2,NA,HEN2 (NHLH2),NA,NHLH2,NA,TAL-HEN,Tal-related,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.3.1.5,NA,NA,NA,NA,NA,TAL-HEN,NA
MA1530.1_NKX6-3,NKX6-3,NKX6-3,NA,NKX6-3,NA,NKX6-3,NA,NK6,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.19.3,NA,NA,NA,NA,NA,NK6,NA
MA1531.1_NR1D1,NR1D1,NR1D1,NA,REV-ERBAALPHA (NR1D1),NA,NR1D1,NA,REVERBA(NR1D),Thyroid hormone receptor-related factors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.2.3.1,NA,NA,NA,NA,NA,REVERBA(NR1D),NA
MA1532.1_NR1D2,NR1D2,NR1D2,NA,REV-ERBABETA (NR1D2),NA,NR1D2,NA,REVERBA(NR1D),Thyroid hormone receptor-related factors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.2.3.2,NA,NA,NA,NA,NA,REVERBA(NR1D),NA
MA1533.1_NR1I2,NR1I2,NR1I2,NA,PXR (NR1I2),NA,NR1I2,NA,VDR(NR1I),Thyroid hormone receptor-related factors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.2.4.2,NA,NA,NA,NA,NA,VDR(NR1I),NA
MA1534.1_NR1I3,NR1I3,NR1I3,NA,CAR (NR1I3),NA,NR1I3,NA,VDR(NR1I),Thyroid hormone receptor-related factors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.2.4.3,NA,NA,NA,NA,NA,VDR(NR1I),NA
MA1535.1_NR2C1,NR2C1,NR2C1,NA,TR2 (NR2C1),NA,NR2C1,NA,TR(NR2C),RXR-related receptors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.3.4.1,NA,NA,NA,NA,NA,TR(NR2C),NA
MA1536.1_NR2C2(var.2),NR2C2(var.2),NR2C2,NA,TR4 (NR2C2),NA,NR2C2,NA,TR(NR2C),RXR-related receptors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.3.4.2,NA,NA,NA,NA,NA,TR(NR2C),NA
MA1537.1_NR2F1(var.2),NR2F1(var.2),NR2F1,NA,COUPTFI (NR2F1),NA,NR2F1,NA,COUP(NR2F),RXR-related receptors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.3.5.1,NA,NA,NA,NA,NA,COUP(NR2F),NA
MA1538.1_NR2F1(var.3),NR2F1(var.3),NR2F1,NA,COUPTFI (NR2F1),NA,NR2F1,NA,COUP(NR2F),RXR-related receptors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.3.5.1,NA,NA,NA,NA,NA,COUP(NR2F),NA
MA1539.1_NR2F6(var.3),NR2F6(var.3),NR2F6,NA,EAR2 (NR2F6),NA,NR2F6,NA,COUP(NR2F),RXR-related receptors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.3.5.3,NA,NA,NA,NA,NA,COUP(NR2F),NA
MA1540.1_NR5A1,NR5A1,NR5A1,NA,FTZ-F1 (SF-1) (NR5A1),NA,NR5A1,NA,NA,FTZF1related(NR5A),Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.5.0.1,NA,NA,NA,NA,NA,FTZF1related(NR5A),NA
MA1541.1_NR6A1,NR6A1,NR6A1,NA,GCNF (NR6A1),NA,NR6A1,NA,NA,GCNF(NR6),Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.6.0.1,NA,NA,NA,NA,NA,GCNF(NR6),NA
MA1542.1_OSR1,OSR1,OSR1,NA,OSR1,NA,OSR1,NA,Other,Other factors with up to three adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.2.4.7,NA,NA,NA,NA,NA,Other,NA
MA1544.1_OVOL1,OVOL1,OVOL1,NA,OVOL1,NA,OVOL1,NA,OVOL,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.17.1,NA,NA,NA,NA,NA,OVOL,NA
MA1545.1_OVOL2,OVOL2,OVOL2,NA,OVOL2,NA,OVOL2,NA,OVOL,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.17.2,NA,NA,NA,NA,NA,OVOL,NA
MA1546.1_PAX3(var.2),PAX3(var.2),PAX3,NA,PAX3,NA,PAX3,NA,PAX3-like,PD+HD,Paired box factors,Helix-turn-helix domains,3.2.1.1.1,NA,NA,NA,NA,NA,PAX3-like,NA
MA1547.1_PITX2,PITX2,PITX2,NA,PITX2,NA,PITX2,NA,PITX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.19.2,NA,NA,NA,NA,NA,PITX,NA
MA1548.1_PLAGL2,PLAGL2,PLAGL2,NA,PLAGL2,NA,PLAGL2,NA,PLAG,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.25.1,NA,NA,NA,NA,NA,PLAG,NA
MA1549.1_POU6F1(var.2),POU6F1(var.2),POU6F1,NA,POU6F1 (Brn-5),NA,POU6F1,NA,POU6,POU,Homeo domain factors,Helix-turn-helix domains,3.1.10.6.1,NA,NA,NA,NA,NA,POU6,NA
MA1550.1_PPARD,PPARD,PPARD,NA,PPARBETA (NR1C2),NA,PPARD,NA,PPAR(NR1C),Thyroid hormone receptor-related factors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.2.5.2,NA,NA,NA,NA,NA,PPAR(NR1C),NA
MA1552.1_RARB(var.3),RARB(var.3),RARB,NA,"RARBETA (RARB, NR1B2)",NA,RARB,NA,RAR(NR1B),Thyroid hormone receptor-related factors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.2.1.2,NA,NA,NA,NA,NA,RAR(NR1B),NA
MA1553.1_RARG(var.3),RARG(var.3),RARG,NA,"RARGAMMA (RARG, NR1B3)",NA,RARG,NA,RAR(NR1B),Thyroid hormone receptor-related factors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.2.1.3,NA,NA,NA,NA,NA,RAR(NR1B),NA
MA1554.1_RFX7,RFX7,RFX7,NA,RFX7,NA,RFX7,NA,NA,RFX,Fork head / winged helix factors,Helix-turn-helix domains,3.3.3.0.7,NA,NA,NA,NA,NA,RFX,NA
MA1555.1_RXRB(var.2),RXRB(var.2),RXRB,NA,RXRBETA (NR2B2),NA,RXRB,NA,RXR(NR2B),RXR-related receptors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.3.1.2,NA,NA,NA,NA,NA,RXR(NR2B),NA
MA1556.1_RXRG(var.2),RXRG(var.2),RXRG,NA,RXRGAMMA (NR2B3),NA,RXRG,NA,RXR(NR2B),RXR-related receptors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.3.1.3,NA,NA,NA,NA,NA,RXR(NR2B),NA
MA1557.1_SMAD5,SMAD5,SMAD5,NA,SMAD5,NA,SMAD5,NA,R-MAD,SMAD,SMAD/NF-1 DNA-binding domain factors,beta-Hairpin exposed by an alpha/beta-scaffold,7.1.1.1.4,NA,NA,NA,NA,NA,R-MAD,NA
MA1558.1_SNAI1,SNAI1,SNAI1,NA,SNAI1,NA,SNAI1,NA,Snail-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.2.1,NA,NA,NA,NA,NA,Snail-like,NA
MA1559.1_SNAI3,SNAI3,SNAI3,NA,SNAI3,NA,SNAI3,NA,Snail-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.2.3,NA,NA,NA,NA,NA,Snail-like,NA
MA1560.1_SOHLH2,SOHLH2,SOHLH2,NA,SOHLH2,NA,SOHLH2,NA,SOHLH,PAS,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.5.5.2,NA,NA,NA,NA,NA,SOHLH,NA
MA1561.1_SOX12,SOX12,SOX12,NA,SOX12,NA,SOX12,NA,Group C,SOX-related,High-mobility group (HMG) domain factors,Other all-alpha-helical DNA-binding domains,4.1.1.3.3,NA,NA,NA,NA,NA,Group C,NA
MA1562.1_SOX14,SOX14,SOX14,NA,SOX14,NA,SOX14,NA,Group B,SOX-related,High-mobility group (HMG) domain factors,Other all-alpha-helical DNA-binding domains,4.1.1.2.4,NA,NA,NA,NA,NA,Group B,NA
MA1563.1_SOX18,SOX18,SOX18,NA,SOX18,NA,SOX18,NA,Group F,SOX-related,High-mobility group (HMG) domain factors,Other all-alpha-helical DNA-binding domains,4.1.1.6.3,NA,NA,NA,NA,NA,Group F,NA
MA1564.1_SP9,SP9,SP9,NA,Sp9,NA,SP9,NA,Sp1-like,Three-zinc finger Krüppel-related,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.1.1.9,NA,NA,NA,NA,NA,Sp1-like,NA
MA1565.1_TBX18,TBX18,TBX18,NA,TBX18,NA,TBX18,NA,NA,TBX1-related,T-Box factors,Immunoglobulin fold,6.5.3.0.4,NA,NA,NA,NA,NA,TBX1-related,NA
MA1566.1_TBX3,TBX3,TBX3,NA,TBX3,NA,TBX3,NA,NA,TBX2-related,T-Box factors,Immunoglobulin fold,6.5.4.0.2,NA,NA,NA,NA,NA,TBX2-related,NA
MA1567.1_TBX6,TBX6,TBX6,NA,TBX6,NA,TBX6,NA,NA,TBX6-related,T-Box factors,Immunoglobulin fold,6.5.5.0.1,NA,NA,NA,NA,NA,TBX6-related,NA
MA1568.1_TCF21(var.2),TCF21(var.2),TCF21,NA,TCF21,NA,TCF21,NA,MESP,Tal-related,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.3.3.5,NA,NA,NA,NA,NA,MESP,NA
MA1569.1_TFAP2E,TFAP2E,TFAP2E,NA,AP-2epsilon,NA,TFAP2E,NA,NA,AP2,Basic helix-span-helix factors (bHSH),Basic domains,1.3.1.0.5,NA,NA,NA,NA,NA,AP2,NA
MA1570.1_TFAP4(var.2),TFAP4(var.2),TFAP4,NA,AP-4,NA,TFAP4,NA,AP4,bHLH-ZIP,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.6.4.1,NA,NA,NA,NA,NA,AP4,NA
MA1571.1_TGIF2LX,TGIF2LX,TGIF2LX,NA,TGIF2LX,NA,TGIF2LX,NA,PKNOX,TALE-type HD,Homeo domain factors,Helix-turn-helix domains,3.1.4.5.3,NA,NA,NA,NA,NA,PKNOX,NA
MA1572.1_TGIF2LY,TGIF2LY,TGIF2LY,NA,TGIF2LY,NA,TGIF2LY,NA,PKNOX,TALE-type HD,Homeo domain factors,Helix-turn-helix domains,3.1.4.5.4,NA,NA,NA,NA,NA,PKNOX,NA
MA1573.1_THAP11,THAP11,THAP11,NA,THAP11,NA,THAP11,NA,NA,THAP,C2CH THAP-type zinc finger factors,Zinc-coordinating DNA-binding domains,2.9.1.0.11,NA,NA,NA,NA,NA,THAP,NA
MA1574.1_THRB,THRB,THRB,NA,T3RBETA (NR1A2),NA,THRB,NA,T3R(NR1A),Thyroid hormone receptor-related factors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.2.2.2,NA,NA,NA,NA,NA,T3R(NR1A),NA
MA1575.1_THRB(var.2),THRB(var.2),THRB,NA,T3RBETA (NR1A2),NA,THRB,NA,T3R(NR1A),Thyroid hormone receptor-related factors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.2.2.2,NA,NA,NA,NA,NA,T3R(NR1A),NA
MA1576.1_THRB(var.3),THRB(var.3),THRB,NA,T3RBETA (NR1A2),NA,THRB,NA,T3R(NR1A),Thyroid hormone receptor-related factors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.2.2.2,NA,NA,NA,NA,NA,T3R(NR1A),NA
MA1577.1_TLX2,TLX2,TLX2,NA,TLX2,NA,TLX2,NA,TLX,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.21.2,NA,NA,NA,NA,NA,TLX,NA
MA1578.1_VEZF1,VEZF1,VEZF1,NA,VEZF1,NA,VEZF1,NA,MAZ-like,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.8.2,NA,NA,NA,NA,NA,MAZ-like,NA
MA1579.1_ZBTB26,ZBTB26,ZBTB26,NA,ZBTB26,NA,ZBTB26,NA,ZBTB6-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.11.2,NA,NA,NA,NA,NA,ZBTB6-like,NA
MA1580.1_ZBTB32,ZBTB32,ZBTB32,NA,ZBTB32,NA,ZBTB32,NA,BTB-POZ,Other factors with up to three adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.2.1.7,NA,NA,NA,NA,NA,BTB-POZ,NA
MA1581.1_ZBTB6,ZBTB6,ZBTB6,NA,ZBTB6,NA,ZBTB6,NA,ZBTB6-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.11.1,NA,NA,NA,NA,NA,ZBTB6-like,NA
MA1583.1_ZFP57,ZFP57,ZFP57,NA,ZFP57,NA,ZFP57,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.28,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
MA1584.1_ZIC5,ZIC5,ZIC5,NA,ZIC5,NA,ZIC5,NA,GLI-lile,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.1.11,NA,NA,NA,NA,NA,GLI-lile,NA
MA1585.1_ZKSCAN1,ZKSCAN1,ZKSCAN1,NA,ZKSCAN1,NA,ZKSCAN1,NA,ZNF24-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.10.6,NA,NA,NA,NA,NA,ZNF24-like,NA
MA1587.1_ZNF135,ZNF135,ZNF135,NA,ZNF135,NA,ZNF135,NA,unclassified,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.0.202,NA,NA,NA,NA,NA,More than 3 adjacent zinc fingers,NA
MA1588.1_ZNF136,ZNF136,ZNF136,NA,ZNF136,NA,ZNF136,NA,ZNF763-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.33.15,NA,NA,NA,NA,NA,ZNF763-like,NA
MA1589.1_ZNF140,ZNF140,ZNF140,NA,ZNF140,NA,ZNF140,NA,ZNF302-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.44.4,NA,NA,NA,NA,NA,ZNF302-like,NA
MA1592.1_ZNF274,ZNF274,ZNF274,NA,ZNF274,NA,ZNF274,NA,unclassified,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.0.6,NA,NA,NA,NA,NA,More than 3 adjacent zinc fingers,NA
MA1593.1_ZNF317,ZNF317,ZNF317,NA,ZNF317,NA,ZNF317,NA,unclassified,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.0.150,NA,NA,NA,NA,NA,More than 3 adjacent zinc fingers,NA
MA1594.1_ZNF382,ZNF382,ZNF382,NA,ZNF382,NA,ZNF382,NA,ZNF37A-like,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.25.5,NA,NA,NA,NA,NA,ZNF37A-like,NA
MA1596.1_ZNF460,ZNF460,ZNF460,NA,ZNF460,NA,ZNF460,NA,ZNF460-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.54.1,NA,NA,NA,NA,NA,ZNF460-like,NA
MA1597.1_ZNF528,ZNF528,ZNF528,NA,ZNF528,NA,ZNF528,NA,unclassified,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.0.189,NA,NA,NA,NA,NA,More than 3 adjacent zinc fingers,NA
MA1599.1_ZNF682,ZNF682,ZNF682,NA,ZNF682,NA,ZNF682,NA,unclassified,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.0.109,NA,NA,NA,NA,NA,More than 3 adjacent zinc fingers,NA
MA1600.1_ZNF684,ZNF684,ZNF684,NA,ZNF684,NA,ZNF684,NA,unclassified,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.0.68,NA,NA,NA,NA,NA,More than 3 adjacent zinc fingers,NA
MA1601.1_ZNF75D,ZNF75D,ZNF75D,NA,ZNF75D,NA,ZNF75D,NA,ZNF75-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.6.3,NA,NA,NA,NA,NA,ZNF75-like,NA
MA1602.1_ZSCAN29,ZSCAN29,ZSCAN29,NA,ZSCAN29,NA,ZSCAN29,NA,ZNF500-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.19.4,NA,NA,NA,NA,NA,ZNF500-like,NA
MA1100.2_ASCL1,ASCL1,ASCL1,NA,ASCL1,NA,ASCL1,NA,ASC,MyoD-ASC-related,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.2.2.1,NA,NA,NA,NA,NA,ASC,NA
MA0605.2_ATF3,ATF3,ATF3,NA,ATF-3,NA,ATF3,NA,ATF3-like,Fos-related,Basic leucine zipper factors (bZIP),Basic domains,1.1.2.2.1,NA,NA,NA,NA,NA,ATF3-like,NA
MA0877.2_BARHL1,BARHL1,BARHL1,NA,BARHL1,NA,BARHL1,NA,BARHL,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.1.1,NA,NA,NA,NA,NA,BARHL,NA
MA0462.2_BATF::JUN,BATF::JUN,BATF,JUN,BATF,c-Jun,BATF,JUN,NA,B-ATF-related,Basic leucine zipper factors (bZIP),Basic domains,1.1.4.0.1,Jun,Jun-related,Basic leucine zipper factors (bZIP),Basic domains,1.1.1.1.1,B-ATF-related,Jun
MA0463.2_BCL6,BCL6,BCL6,NA,BCL6,NA,BCL6,NA,BCL6,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.22.2,NA,NA,NA,NA,NA,BCL6,NA
MA0878.2_CDX1,CDX1,CDX1,NA,CDX1,NA,CDX1,NA,CDX,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.9.1,NA,NA,NA,NA,NA,CDX,NA
MA0864.2_E2F2,E2F2,E2F2,NA,E2F2,NA,E2F2,NA,E2F,E2F,Fork head / winged helix factors,Helix-turn-helix domains,3.3.2.1.2,NA,NA,NA,NA,NA,E2F,NA
MA0469.3_E2F3,E2F3,E2F3,NA,E2F3,NA,E2F3,NA,E2F,E2F,Fork head / winged helix factors,Helix-turn-helix domains,3.3.2.1.3,NA,NA,NA,NA,NA,E2F,NA
MA0470.2_E2F4,E2F4,E2F4,NA,E2F4,NA,E2F4,NA,E2F,E2F,Fork head / winged helix factors,Helix-turn-helix domains,3.3.2.1.4,NA,NA,NA,NA,NA,E2F,NA
MA0612.2_EMX1,EMX1,EMX1,NA,EMX1,NA,EMX1,NA,EMX,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.6.1,NA,NA,NA,NA,NA,EMX,NA
MA0847.2_FOXD2,FOXD2,FOXD2,NA,FOXD2,NA,FOXD2,NA,FOXD,FOX,Fork head / winged helix factors,Helix-turn-helix domains,3.3.1.4.2,NA,NA,NA,NA,NA,FOXD,NA
MA0766.2_GATA5,GATA5,GATA5,NA,GATA5,NA,GATA5,NA,GATA double,C4-GATA-related,Other C4 zinc finger-type factors,Zinc-coordinating DNA-binding domains,2.2.1.1.5,NA,NA,NA,NA,NA,GATA double,NA
MA0038.2_GFI1,GFI1,GFI1,NA,GFI1,NA,GFI1,NA,GFI1,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.21.1,NA,NA,NA,NA,NA,GFI1,NA
MA0734.2_GLI2,GLI2,GLI2,NA,GLI2,NA,GLI2,NA,GLI-lile,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.1.2,NA,NA,NA,NA,NA,GLI-lile,NA
MA0893.2_GSX2,GSX2,GSX2,NA,GSX2,NA,GSX2,NA,GSX,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.12.2,NA,NA,NA,NA,NA,GSX,NA
MA1099.2_HES1,HES1,HES1,NA,HES1,NA,HES1,NA,HAIRY,Hairy-related,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.4.1.1,NA,NA,NA,NA,NA,HAIRY,NA
MA0616.2_HES2,HES2,HES2,NA,HES2,NA,HES2,NA,HAIRY,Hairy-related,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.4.1.2,NA,NA,NA,NA,NA,HAIRY,NA
MA0650.2_HOXA13,HOXA13,HOXA13,NA,HOXA13,NA,HOXA13,NA,HOX9-13,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.8.14,NA,NA,NA,NA,NA,HOX9-13,NA
MA0900.2_HOXA2,HOXA2,HOXA2,NA,HOXA2,NA,HOXA2,NA,HOX2,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.2.1,NA,NA,NA,NA,NA,HOX2,NA
MA0158.2_HOXA5,HOXA5,HOXA5,NA,HOXA5,NA,HOXA5,NA,HOX5,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.5.1,NA,NA,NA,NA,NA,HOX5,NA
MA0594.2_HOXA9,HOXA9,HOXA9,NA,HOXA9,NA,HOXA9,NA,HOX9-13,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.8.1,NA,NA,NA,NA,NA,HOX9-13,NA
MA0902.2_HOXB2,HOXB2,HOXB2,NA,HOXB2,NA,HOXB2,NA,HOX2,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.2.2,NA,NA,NA,NA,NA,HOX2,NA
MA0904.2_HOXB5,HOXB5,HOXB5,NA,HOXB5,NA,HOXB5,NA,HOX5,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.5.2,NA,NA,NA,NA,NA,HOX5,NA
MA0485.2_HOXC9,HOXC9,HOXC9,NA,HOXC9,NA,HOXC9,NA,HOX9-13,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.8.3,NA,NA,NA,NA,NA,HOX9-13,NA
MA0909.2_HOXD13,HOXD13,HOXD13,NA,HOXD13,NA,HOXD13,NA,HOX9-13,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.8.17,NA,NA,NA,NA,NA,HOX9-13,NA
MA0912.2_HOXD3,HOXD3,HOXD3,NA,HOXD3,NA,HOXD3,NA,HOX3,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.3.3,NA,NA,NA,NA,NA,HOX3,NA
MA0910.2_HOXD8,HOXD8,HOXD8,NA,HOXD8,NA,HOXD8,NA,HOX8,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.7.3,NA,NA,NA,NA,NA,HOX8,NA
MA0913.2_HOXD9,HOXD9,HOXD9,NA,HOXD9,NA,HOXD9,NA,HOX9-13,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.8.4,NA,NA,NA,NA,NA,HOX9-13,NA
